title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
11:30,215000.0,Block B,Blockbuster,,,XW,2012-10-17,,Block B
A Few Years Later (Japanese Version),209000.0,Block B,Toy,,,JP,2016-06-15,,Block B
Action,190000.0,Block B,Welcome to the Block,,,KR,2012-02-02,,Block B
Be the Light,210000.0,Block B,My Zone,,,JP,2016-10-26,,Block B
Burn Out,229000.0,Block B,유령 OST,,,,2012-07-17,,Block B
Don't Leave (Japanese Version),,Block B,THE BEST,,,JP,2018-06-20,,Block B
Everythin',206000.0,Block B,Re:MONTAGE,,,KR,2018-01-08,,Block B
Give & Take,199000.0,Block B,Montage,,,US,2017-11-07,,Block B
H.E.R,179000.0,Block B,H.E.R,,,KR,2014-07-24,,Block B
Halo,232000.0,Block B,New Kids on the Block,,,KR,2011-06-23,,Block B
HER,180000.0,Block B,My Zone,,,JP,2016-10-26,,Block B
Interlude,27000.0,Block B,Blockbuster,,,XW,2012-10-17,,Block B
Itakunai,,Block B,THE BEST,,,JP,2018-06-20,,Block B
JACKPOT,193000.0,Block B,Jackpot,,,KR,2014-04-17,,Block B
Like This (JP ver.),234000.0,Block B,MONTAGE ～JAPAN EDITION～,,,JP,2017-12-06,,Block B
LOL,144000.0,Block B,Welcome to the Block,,,KR,2012-02-02,,Block B
Lost & Found,,"Block B, KEITA",THE BEST,,,JP,2018-06-20,,Block B
Mental Breaker,209000.0,Block B,Blockbuster,,,XW,2012-10-17,,Block B
Movie's Over,223000.0,Block B,Blockbuster,,,XW,2012-10-17,,Block B
My Zone,,Block B,My Zone,,,JP,2016-10-26,,Block B
Nice day,210000.0,Block B,Very Good,,,KR,2013-10-02,,Block B
NILLILI MAMBO,208000.0,Block B,My Zone,,,JP,2016-10-26,,Block B
One Way (JP ver.),214000.0,Block B,MONTAGE ～JAPAN EDITION～,,,JP,2017-12-06,,Block B
Shall We Dance,180000.0,Block B,Montage,,,US,2017-11-07,,Block B
Toy,206000.0,Block B,Blooming Period,,,KR,2015-04-11,,Block B
U Hoo Hoo,217000.0,Block B,New Kids on the Block,,,KR,2011-06-23,,Block B
Very Good,199000.0,Block B,Very Good,,,KR,2013-10-02,,Block B
Walkin in the Rain (Japanese Version),,Block B,THE BEST,,,JP,2018-06-20,,Block B
Walkin' In The Rain,216000.0,Block B,Blooming Period,,,KR,2015-04-11,,Block B
Wanna B,192000.0,Block B,New Kids on the Block,,,KR,2011-06-23,,Block B
Winner,,"Block B, ちゃんみな",THE BEST,,,JP,2018-06-20,,Block B
YESTERDAY,168000.0,Block B,YESTERDAY,,,KR,2017-02-06,,Block B
君はどこに,229000.0,Block B,My Zone,,,JP,2016-10-26,,Block B
痛くない,245000.0,Block B,My Zone,,,JP,2016-10-26,,Block B
가서 전해,212000.0,Block B,New Kids on the Block,,,KR,2011-06-23,,Block B
그대로 멈춰라 (Radio Edit),206000.0,Block B,New Kids on the Block,,,KR,2011-06-23,,Block B
그대로 멈춰라! (INST),206000.0,Block B,New Kids on the Block,,,KR,2011-06-23,,Block B
나만 이런거야?,195000.0,Block B,New Kids on the Block,,,KR,2011-06-23,,Block B
난리나,202000.0,Block B,Welcome to the Block,,,KR,2012-02-02,,Block B
넌 어디에,226000.0,Block B,Blockbuster,,,XW,2012-10-17,,Block B
눈감아줄께,199000.0,Block B,Welcome to the Block,,,KR,2012-05-02,,Block B
닐리리맘보,205000.0,Block B,Blockbuster,,,XW,2012-10-17,,Block B
떠나지마요,239000.0,Block B,Re:MONTAGE,,,KR,2018-01-08,,Block B
로맨틱하게,235000.0,Block B,Blockbuster,,,XW,2012-10-17,,Block B
마지막 정류장,232000.0,Block B,Re:MONTAGE,,,KR,2018-01-08,,Block B
몇 년 후에,227000.0,Block B,Blooming Period,,,KR,2015-04-11,,Block B
보기 드문 여자,191000.0,Block B,H.E.R,,,KR,2014-07-24,,Block B
빛이 되어줘,206000.0,Block B,빛이 되어줘,,,US,2013-09-23,,Block B
싱크로율 100%,209000.0,Block B,Welcome to the Block,,,KR,2012-02-02,,Block B
이렇게,230000.0,Block B,Montage,,,US,2017-11-07,,Block B
이제 날 안아요,208000.0,Block B,H.E.R,,,KR,2014-07-24,,Block B
일방적이야,212000.0,Block B,Montage,,,US,2017-11-07,,Block B
장난없다 (No Joke),198000.0,Block B,Blockbuster,,,XW,2012-10-17,,Block B
했어 안했어,237000.0,Block B,Welcome to the Block,,,KR,2012-02-02,,Block B
