title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Savage (camerawork guide version),237000,aespa,Savage,,,,2021-11-19,,aespa
BAHAMA,190000,aespa,Armageddon,,,KR,2024-05-27,,aespa
Better Things (RAYE remix),205002,"aespa, RAYE",Better Things (RAYE remix),,,,2023-09-29,,aespa
Thirsty,193413,aespa,MY WORLD,,,,2023-05-08,,aespa
Drama (performance video),233000,aespa,Drama (performance version),,,,2023-11-14,,aespa
Better Things (instrumental),203000,aespa,Better Things,,,US,2023-10-27,,aespa
Better Things (snack version),46000,aespa,Better Things (sped up + slowed down),,,,2023-09-08,,aespa
Better Things,203000,aespa,Better Things,,,,2023-08-18,,aespa
Better Things (æ‐aespa version),215000,aespa,Better Things (æ‐aespa version),,,,2023-10-06,,aespa
Spicy (Nitepunk remix),190000,aespa,iScreaM Vol.26 : Spicy Remix,,,,2023-09-15,,aespa
Hold On Tight,151000,aespa,Hold On Tight,,,XW,2023-03-30,,aespa
Get Goin’,120693,aespa,Jim Henson’s™ Fraggle Rock: Back to the Rock – Season 2: Apple TV+ Original Series Soundtrack,,,,2024-03-29,,aespa
Prologue,194000,aespa,Armageddon,,,KR,2024-05-27,,aespa
Black Mamba,229000,aespa,Black Mamba,,,XW,2020-11-17,,aespa
Live My Life,159000,aespa,Armageddon,,,KR,2024-05-27,,aespa
I’m Unhappy (track video version),143869,aespa,I’m Unhappy (track video version),,,XW,2023-05-02,,aespa
Lingo,156000,aespa,Girls,,,XW,2022-07-08,,aespa
Black Mamba,174933,aespa,Girls,,,,2022-07-08,,aespa
Girls,240440,aespa,Girls,,,,2022-07-08,,aespa
Black Mamba,174000,aespa,Black Mamba,,,XW,2020-11-17,,aespa
Spicy,197000,aespa,MY WORLD,,,KR,2023-05-08,,aespa
ænergy,147400,aespa,Savage,,,KR,2021-10-05,,aespa
Thirsty (track video version),128516,aespa,Thirsty (track video version),,,XW,2023-05-04,,aespa
Girls (BRLLNT remix),187000,aespa,Girls (BRLLNT remix),,,,2022-10-21,,aespa
Life’s Too Short,178000,aespa,Life’s Too Short,,,XW,2022-06-24,,aespa
Trick or Trick,175000,aespa,Drama,,,KR,2023-11-10,,aespa
Thirsty,193000,aespa,MY WORLD,,,KR,2023-05-08,,aespa
Armageddon,196000,aespa,Armageddon,,,KR,2024-05-27,,aespa
Next Level,221000,aespa,Next Level,,,XW,2021-05-17,,aespa
Mine,193000,aespa,Armageddon,,,KR,2024-05-27,,aespa
Life’s Too Short,178000,aespa,Girls,,,XW,2022-07-08,,aespa
Life’s Too Short,178133,aespa,Girls,,,,2022-07-08,,aespa
Savage,238144,aespa,Savage,,,KR,2021-10-05,,aespa
Supernova,178000,aespa,Supernova,,,JP,2024-05-13,,aespa
Life’s Too Short,189000,aespa,Life’s Too Short (English version),,,XW,2022-06-24,,aespa
Dreams Come True (inst.),204933,aespa,Dreams Come True,,,XW,2021-12-20,,aespa
ICU (쉬어가도 돼),221640,aespa,Girls,,,,2022-07-08,,aespa
Over You,173053,"Jacob Collier, aespa, Chris Martin",Djesse Vol. 4,,,XW,2024-03-01,,aespa
Long Chat (#♥︎),195000,aespa,Armageddon,,,KR,2024-05-27,,aespa
Forever (약속),298173,aespa,Girls,,,,2022-07-08,,aespa
Better Things,203000,aespa,Better Things,,,,2023-08-18,,aespa
Better Things (sped up version),181000,aespa,Better Things (sped up + slowed down),,,,2023-09-08,,aespa
’Til We Meet Again,218360,aespa,MY WORLD,,,,2023-05-08,,aespa
Set the Tone,202000,aespa,Armageddon,,,KR,2024-05-27,,aespa
Savage (performance stage version),240000,aespa,Savage,,,,2021-11-19,,aespa
Spicy (Nitepunk remix),199000,aespa,Spicy (Nitepunk remix),,,,2023-09-15,,aespa
Girls (Minit remix),235000,aespa,Girls (Minit remix),,,,2022-10-21,,aespa
’Til We Meet Again,218000,aespa,MY WORLD,,,KR,2023-05-08,,aespa
Drama,215000,aespa,Drama,,,,2023-11-10,,aespa
I’m Unhappy,205893,aespa,MY WORLD,,,,2023-05-08,,aespa
Girls (Minit remix),222769,aespa,iScreaM Vol.18 : Girls Remixes,,,XW,2022-10-21,,aespa
Die Trying,175680,"aespa, TOKiMONSTA",Die Trying,,,XW,2024-04-04,,aespa
Don’t Blink,169000,aespa,Drama,,,,2023-11-10,,aespa
I’ll Make You Cry,215000,aespa,Savage,,,KR,2021-10-05,,aespa
Next Level (Lionclad remix),225877,aespa,iScreaM Vol.10 : Next Level Remixes,,,XW,2021-09-14,,aespa
Dreams Come True,220000,aespa,Dreams Come True,,,XW,2021-12-20,,aespa
Hot Air Balloon,199000,aespa,Drama,,,,2023-11-10,,aespa
Jingle Bell Rock (sped up ver.),93295,aespa,Jingle Bell Rock (sped up ver.),,,JP,2023-12-15,,aespa
Dreams Come True,204933,aespa,Girls,,,,2022-07-08,,aespa
Don’t Blink,169000,aespa,Drama,,,KR,2023-11-10,,aespa
ICONIC,191200,aespa,Savage,,,KR,2021-10-05,,aespa
Drama (sped up ver.),184062,aespa,Drama (sped up ver.),,,JP,2023-12-15,,aespa
Hot Air Balloon,198000,aespa,Drama,,,KR,2023-11-10,,aespa
Better Things,241000,aespa,Better Things,,,,2023-08-18,,aespa
Forever (약속),306000,aespa,Forever,,,XW,2021-02-05,,aespa
Girls,240000,aespa,Girls,,,XW,2022-07-08,,aespa
Salty & Sweet,201000,aespa,MY WORLD,,,KR,2023-05-08,,aespa
