title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Angel 2 Me,194000.0,"JI U, YOOHYEON",Angel 2 Me,,,XW,2020-12-24,,JI U
Cherry (Real Miracle),195080.0,JI U,[Apocalypse : Save us],,,KR,2022-04-12,,JI U
Full Moon,,"JI U, DAMI",Into the Night & Dystopia Concert,,,XW,2020-07-04,,JI U
Honesty,224000.0,JI U,Honesty,,,XW,2019-09-23,,JI U
I Love You,259000.0,"JI U, SU A, SIYEON",I Love You,,,XW,2020-10-19,,JI U
Solo,,JI U,Halloween Midnight Circus,,,KR,2021-10-30,,JI U
Trouble Maker,151000.0,"JI U, HANDONG",Trouble Maker,,,XW,2018-07-30,,JI U
나로 바꾸자,207000.0,"JI U, SU A",나로 바꾸자,,,XW,2021-06-17,,JI U
도원경 (桃源境),,"JI U, SIYEON",Crossroads: Part 2. Dystopia Concert,,,XW,2021-03-27,,JI U
삐삐,,JI U,Dystopia: Seven Spirits Live Band Set,,,XW,2020-11-07,,JI U
