title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Day by Day,250813.0,JOY,안녕 (Hello),,,KR,2021-05-31,,JOY
Hello,218880.0,JOY,안녕 (Hello),,,KR,2021-05-31,,JOY
"괜찮아, 난",189365.0,"JOY, 이현우",그녀는 거짓말을 너무 사랑해 OST Part.2,,,KR,2017-03-27,,JOY
If Only,228000.0,"JOY, Paul Kim",안녕 (Hello),,,KR,2021-05-31,,JOY
Shiny Boy (Inst.),203000.0,JOY,그녀는 거짓말을 너무 사랑해 OST Part.5,,,KR,2017-04-17,,JOY
안녕 (Hello),220466.0,JOY,안녕 (Hello),,,KR,2021-06-03,,JOY
너를 기다리는 법 (Inst.),,JOY,그녀는 거짓말을 너무 사랑해 OST Part.8,,,KR,2017-05-01,,JOY
이별을 배웠어 (Always in My Heart),203000.0,"임슬옹, JOY",이별을 배웠어 (Always in My Heart),,,KR,2016-11-04,,JOY
Be There for You,236640.0,JOY,안녕 (Hello),,,KR,2021-05-31,,JOY
좋을텐데 (If Only),229813.0,JOY,안녕 (Hello),,,KR,2021-06-03,,JOY
Day By Day,252400.0,JOY,안녕 (Hello),,,KR,2021-06-03,,JOY
Je t'aime,262706.0,JOY,안녕 (Hello),,,KR,2021-06-03,,JOY
그럴때마다 (Be There for You),236640.0,JOY,안녕 (Hello),,,KR,2021-06-03,,JOY
여우야,235000.0,JOY,그녀는 거짓말을 너무 사랑해 OST Part.1,,,KR,2017-03-21,,JOY
청춘고백,220000.0,JOY,Maestro,,,KR,2009-06-01,,JOY
Introduce me a good person,183440.0,JOY,"HOSPITAL PLAYLIST (Original Television Soundtrack), Pt. 2",,,KR,2020-03-20,,JOY
Happy Birthday to You,174000.0,JOY,안녕 (Hello),,,KR,2021-05-31,,JOY
이별을 배웠어 (Always in My Heart) (inst.),203000.0,"임슬옹, JOY",이별을 배웠어 (Always in My Heart),,,KR,2016-11-04,,JOY
Shiny Boy,204000.0,JOY,그녀는 거짓말을 너무 사랑해 OST Part.5,,,KR,2017-04-17,,JOY
요즘 너 말야,231000.0,JOY,그녀는 거짓말을 너무 사랑해 OST Part.4,,,KR,2017-04-11,,JOY
Dream Me (Instrumental),203664.0,"JOY, MARK","The Ghost Detective (Original Television Soundtrack), Pt. 6",,,XW,2018-10-18,,JOY
내게 오는 길 (Inst.),,JOY,그녀는 거짓말을 너무 사랑해 OST Part.9,,,KR,2017-05-08,,JOY
Introduce me a good person (Instrumental),183579.0,JOY,"HOSPITAL PLAYLIST (Original Television Soundtrack), Pt. 2",,,KR,2020-03-20,,JOY
Happy Birthday To You,175813.0,JOY,안녕 (Hello),,,KR,2021-06-03,,JOY
내게 오는 길,251000.0,JOY,그녀는 거짓말을 너무 사랑해 OST Part.9,,,KR,2017-05-08,,JOY
First Christmas,217862.0,"JOY, 도영",인기가요 뮤직크러쉬 Part.4,,,,2016-12-18,,JOY
너를 기다리는 법,202001.0,JOY,그녀는 거짓말을 너무 사랑해 OST Part.8,,,KR,2017-05-01,,JOY
Je t’aime,261120.0,JOY,Je t'aime,,,XW,2021-05-26,,JOY
ABC송,,JOY,내품에 친구들 OST,,,KR,2015-09-14,,JOY
Mayday,200000.0,"Crush, JOY",homemade 1,,,XW,2020-05-20,,JOY
요즘 너 말야 (Your Days),231000.0,JOY,그녀는 거짓말을 너무 사랑해 OST Part.4,,,KR,2017-04-11,,JOY
나라는 꿈 Dream Me,203664.0,"MARK, JOY","The Ghost Detective (Original Television Soundtrack), Pt. 6",,,XW,2018-10-18,,JOY
