title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
Angel Pt. 1,175802,"Jimin, Kodak Black, NLE Choppa, JVKE, Muni Long",FAST X: Original Motion Picture Soundtrack,,,XW,2023-05-19,,Jimin
Like Crazy,212000,Jimin,Like Crazy,,,US,2023-03-23,,Jimin
Face‐off,230000,Jimin,FACE,,,KR,2023-03-24,,Jimin
Christmas Love,198000,Jimin,Christmas Love,,,KR,2020-12-24,,Jimin
Set Me Free Pt.2,200930,Jimin,Set Me Free Pt.2,,,XW,2023-03-17,,Jimin
Angel Pt. 1 (sped up),175802,"Jimin, Kodak Black, NLE Choppa, JVKE, Muni Long",FAST X: Original Motion Picture Soundtrack (sped up),,,XW,2023-05-19,,Jimin
Closer Than This,223302,Jimin,Closer Than This,,,XW,2023-12-22,,Jimin
Interlude : Dive,131000,Jimin,FACE,,,KR,2023-03-24,,Jimin
With you,201000,"Jimin, 하성운","Our Blues, Pt. 4 (Original Television Soundtrack)",,,XW,2022-04-24,,Jimin
Promise,151000,Jimin,Promise,,,KR,2018-12-31,,Jimin
Like Crazy (instrumental),212216,Jimin,Like Crazy (remixes),,,XW,2023-03-26,,Jimin
Like Crazy (English version),212000,Jimin,FACE,,,KR,2023-03-24,,Jimin
Angel Pt. 1,175802,"Jimin, Kodak Black, NLE Choppa, JVKE, Muni Long",FAST X: Original Motion Picture Soundtrack,,,,2023-05-19,,Jimin
Like Crazy (Deep House remix),180719,Jimin,Like Crazy (remixes),,,XW,2023-03-26,,Jimin
Alone,211000,Jimin,FACE,,,KR,2023-03-24,,Jimin
With you (Instrumental),201000,"Jimin, 하성운","Our Blues, Pt. 4 (Original Television Soundtrack)",,,XW,2022-04-24,,Jimin
Like Crazy (UK Garage remix),210395,Jimin,Like Crazy (remixes),,,XW,2023-03-26,,Jimin
