title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
1년 後 (ONE YEAR LATER),243026.0,"Jessica, ONEW",Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,Jessica
Sweet Delight (East4a QM Mix) (Inst.),249000.0,Jessica,Sweet Delight,,,KR,2010-10-13,,Jessica
BARBIE GIRL,193000.0,"Jessica, KEY",Into The New World (The 1st Asia Tour Concert),,,KR,2010-12-30,,Jessica
눈물이 넘쳐서,285000.0,Jessica,로맨스 타운 OST Part 2,,,KR,2011-05-18,,Jessica
Tonight,221000.0,Jessica,WONDERLAND,,,KR,2016-12-10,,Jessica
Dancing on the Moon,239415.0,Jessica,Wonderland,,,US,2016-12-30,,Jessica
Big Mini World,191000.0,Jessica,"With Love, J",,,XW,2016-05-27,,Jessica
봄이라서 그래,208000.0,Jessica,봄이라서 그래,,,KR,2017-04-18,,Jessica
DAYDREAM,227000.0,Jessica,제시카 & 크리스탈 - US로드트립 OST Part.3,,,KR,2021-11-17,,Jessica
그대라는 한 사람,255000.0,Jessica,연애조작단 : 시라노 OST Part 4,,,KR,2013-07-02,,Jessica
잠이 오지 않아 (inst.),215000.0,Jessica,제시카 & 크리스탈 - US로드트립 OST Part.1,,,KR,2021-08-27,,Jessica
잠들기 전 전화해 (Inst.),218000.0,Jessica,잠들기 전 전화해,,,KR,2019-09-26,,Jessica
Sweet Delight (East4A QM Mix) (SPC Ver.),249000.0,Jessica,Sweet Delight,,,KR,2010-10-13,,Jessica
잠이 오지 않아,215000.0,Jessica,제시카 & 크리스탈 - US로드트립 OST Part.1,,,KR,2021-08-27,,Jessica
Sweet Delight (Radio Edit),199000.0,Jessica,Sweet Delight,,,KR,2010-10-13,,Jessica
Love U,206000.0,Jessica,My Decade,,,KR,2017-08-09,,Jessica
어쩜,233000.0,"Jessica, 김진표",난폭한 로맨스 OST Part 2,,,KR,2012-01-19,,Jessica
Almost,166000.0,Jessica,2011 GIRLS GENERATION TOUR,,,KR,2013-04-11,,Jessica
DAYDREAM (inst.),227000.0,Jessica,제시카 & 크리스탈 - US로드트립 OST Part.3,,,KR,2021-11-17,,Jessica
How Will I Know (Who You Are),198000.0,Jessica,Woman In Love: Top 100,,,NL,1999,,Jessica
어쩜 (Inst.),233000.0,"Jessica, 김진표",난폭한 로맨스 OST Part 2,,,KR,2012-01-19,,Jessica
Wonderland,199000.0,Jessica,WONDERLAND,,,KR,2016-12-10,,Jessica
Fly,252000.0,"Jessica, Fabolous","With Love, J",,,KR,2016-05-17,,Jessica
Beautiful,266000.0,Jessica,WONDERLAND,,,KR,2016-12-10,,Jessica
Summer Storm,202000.0,Jessica,My Decade,,,KR,2017-08-09,,Jessica
봄이라서 그래 (inst.),208000.0,Jessica,봄이라서 그래,,,KR,2017-04-18,,Jessica
World of Dreams,209120.0,Jessica,Wonderland,,,US,2016-12-30,,Jessica
SNAPSHOT (inst.),190000.0,Jessica,제시카 & 크리스탈 - US로드트립 OST Part.2,,,KR,2021-11-08,,Jessica
Big Mini World,191000.0,Jessica,"With Love, J",,,KR,2016-05-17,,Jessica
Celebrate,206000.0,Jessica,WONDERLAND,,,KR,2016-12-10,,Jessica
Falling Crazy in Love,241000.0,Jessica,"With Love, J",,,XW,2016-05-27,,Jessica
마음길 (Inst.),255000.0,Jessica,대왕의꿈 OST Part.1,,,KR,2012-09-07,,Jessica
Best Summer,185506.0,Jessica,BEEP BEEP,,,,2023-11-22,,Jessica
A Little Bit Longer,221000.0,Jessica,Woman In Love: Top 100,,,NL,1999,,Jessica
Butterfly (Acoustic Ver.),180729.0,"Jessica, Krystal",아름다운 그대에게 OST,,,KR,2012-09-19,,Jessica
Celebrate,206789.0,Jessica,Wonderland,,,US,2016-12-30,,Jessica
눈물이 넘쳐서 (Inst.),287000.0,Jessica,로맨스 타운 OST Part 2,,,KR,2011-05-18,,Jessica
World of Dreams,209000.0,Jessica,WONDERLAND,,,KR,2016-12-10,,Jessica
Golden Sky,195000.0,Jessica,"With Love, J",,,XW,2016-05-27,,Jessica
그대라는 한 사람 (Inst.),255000.0,Jessica,연애조작단 : 시라노 OST Part 4,,,KR,2013-07-02,,Jessica
Love Me the Same,204000.0,Jessica,"With Love, J",,,XW,2016-05-27,,Jessica
Starry Night,266000.0,Jessica,My Decade,,,KR,2017-08-09,,Jessica
BEEP BEEP,172840.0,Jessica,BEEP BEEP,,,,2023-11-22,,Jessica
Sweet Delight (East4A QM Mix) (Radio Edit),249000.0,Jessica,Sweet Delight,,,KR,2010-10-13,,Jessica
Say Yes,238131.0,"Jessica, Krystal, 吴亦凡",Make Your Move,,,US,2014-04-07,,Jessica
Butterfly,182000.0,"Jessica, Krystal",아름다운 그대에게 OST - Butterfly,,,KR,2012-08-15,,Jessica
오빠나빠,,"Jessica, Tiffany Young, 서현",오빠나빠,,,KR,2008-04-07,,Jessica
My Lifestyle,184000.0,"Jessica, Dok2",Younique Album My Lifestyle,,,KR,2012-10-18,,Jessica
Love Me the Same,204000.0,Jessica,"With Love, J",,,KR,2016-05-17,,Jessica
Dancing on the Moon,239000.0,Jessica,WONDERLAND,,,KR,2016-12-10,,Jessica
Saturday Night,185000.0,Jessica,My Decade,,,KR,2017-08-09,,Jessica
Wonderland,199544.0,Jessica,Wonderland,,,US,2016-12-30,,Jessica
잠들기 전 전화해,218000.0,"Jessica, 기리보이",Call Me Before You Sleep,,,XW,2019-09-26,,Jessica
Sweet Delight (Inst.),199000.0,Jessica,Sweet Delight,,,KR,2010-10-13,,Jessica
Falling Crazy In Love,241000.0,Jessica,"With Love, J",,,KR,2016-05-17,,Jessica
Better Late than Never,171213.0,Jessica,BEEP BEEP,,,,2023-11-22,,Jessica
마음길,255000.0,Jessica,대왕의꿈 OST Part.1,,,KR,2012-09-07,,Jessica
SNAPSHOT,190000.0,Jessica,제시카 & 크리스탈 - US로드트립 OST Part.2,,,KR,2021-11-08,,Jessica
Beautiful Mind,219000.0,Jessica,My Decade,,,KR,2017-08-09,,Jessica
Set Me Free,206253.0,Jessica,BEEP BEEP,,,,2023-11-22,,Jessica
BEEP BEEP,172840.0,Jessica,BEEP BEEP,,,,2023-11-22,,Jessica
Dear Diary,199000.0,Jessica,"With Love, J",,,KR,2016-05-17,,Jessica
Get it? Got it? Good,198733.0,"Jessica, Amber Liu",BEEP BEEP,,,,2023-11-22,,Jessica
1 년 後 (One Year Later),241000.0,"Jessica, ONEW",Genie - The Second Mini Album,,,XW,2009-06-25,,Jessica
Fly,252000.0,"Jessica, Fabolous","With Love, J",,,XW,2016-05-27,,Jessica
One More Christmas,212000.0,Jessica,One More Christmas,,,KR,2018-12-14,,Jessica
Golden Sky,195000.0,Jessica,"With Love, J",,,KR,2016-05-17,,Jessica
Sweet Delight (SPC Ver.),199000.0,Jessica,Sweet Delight,,,KR,2010-10-13,,Jessica
