title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
P.D.D,232000.0,"RM, Warren G",P.D.D,,,KR,2015-03-05,,RM
건망증,162000.0,"RM, 김사월",Indigo,,,KR,2022-12-02,,RM
Domodachi (feat. Little Simz),185000.0,RM,"Right Place, Wrong Person",,,XW,2024-05-24,,RM
Rush,252000.0,"RM, Krizz Kaliko",RM,,,KR,2015-03-20,,RM
ㅠㅠ (Credit Roll),74000.0,RM,"Right Place, Wrong Person",,,XW,2024-05-24,,RM
SEXY NUKIM,230728.0,"Balming Tiger, RM",January Never Dies,,,KR,2023-10-19,,RM
Hectic,226000.0,"RM, Colde",Indigo,,,KR,2022-12-02,,RM
badbye,112000.0,"RM, 이이언",mono.,,,XW,2018-10-23,,RM
알아요,167000.0,"RM, Jung Kook",알아요,,,XW,2016-05-31,,RM
Still Life,175000.0,"RM, Anderson .Paak",Indigo,,,KR,2022-12-02,,RM
God Rap,213000.0,RM,RM,,,KR,2015-03-20,,RM
Bicycle,206000.0,RM,Bicycle,,,KR,2021-06-07,,RM
각성 (覺醒),158000.0,RM,RM,,,KR,2015-03-20,,RM
Yun,234000.0,"RM, Erykah Badu",Indigo,,,KR,2022-12-02,,RM
땡,236000.0,"RM, SUGA, j‐hope",땡,,,KR,2018-06-10,,RM
No.2,194000.0,"RM, 박지윤",Indigo,,,KR,2022-12-02,,RM
? (Interlude),113000.0,RM,"Right Place, Wrong Person",,,XW,2024-05-24,,RM
버려,195000.0,RM,RM,,,KR,2015-03-20,,RM
All Day,186000.0,"RM, Tablo",Indigo,,,KR,2022-12-02,,RM
forever rain,271000.0,RM,mono.,,,XW,2018-10-23,,RM
Don’t ever say love me (feat. RM of BTS),214920.0,"Colde, RM",Love Part 2,,,AF,2023-05-04,,RM
Nuts,195000.0,RM,"Right Place, Wrong Person",,,XW,2024-05-24,,RM
Come back to me (radio edit),253213.0,RM,Come back to me,,,XW,2024-05-10,,RM
Lonely,166000.0,RM,Indigo,,,KR,2022-12-02,,RM
tokyo,208000.0,RM,mono.,,,XW,2018-10-23,,RM
부끄부끄 (clean ver.),,"MFBTY, EE, RM, Dino-J",WondaLand,,,US,2015-03-19,,RM
SEXY NUKIM,229000.0,"Balming Tiger, RM",SEXY NUKIM,,,XW,2022-09-01,,RM
코끼리,256000.0,"개코, RM",코끼리,,,KR,2017-04-05,,RM
uhgood,194000.0,RM,mono.,,,XW,2018-10-23,,RM
Always,,RM,Always,,,KR,2017-01-01,,RM
Around the world in a day (feat. Moses Sumney),257000.0,RM,"Right Place, Wrong Person",,,XW,2024-05-24,,RM
농담,199000.0,RM,RM,,,KR,2015-03-20,,RM
Champion (remix),210000.0,"Fall Out Boy, RM",Champion (remix),,,AU,2017-12-15,,RM
표류,189000.0,RM,RM,,,KR,2015-03-20,,RM
Closer,197000.0,"RM, Paul Blanco, Mahalia",Indigo,,,KR,2022-12-02,,RM
I Believe,222000.0,RM,RM,,,KR,2015-03-20,,RM
Heaven,195000.0,RM,"Right Place, Wrong Person",,,XW,2024-05-24,,RM
Monster,224000.0,RM,RM,,,KR,2015-03-20,,RM
Crying Over You,244859.0,"HONNE, RM, BEKA",Love Me / Love Me Not (Sessions),,,XW,2020-05-15,,RM
Groin,191000.0,RM,"Right Place, Wrong Person",,,XW,2024-05-24,,RM
4 O'Clock,232000.0,"V, RM",It's Definitely You,,,KR,2020-04-10,,RM
부끄부끄,254480.0,"MFBTY, EE, RM, Dino-J",WondaLand,,,US,2015-03-19,,RM
목소리,167000.0,RM,RM,,,KR,2015-03-20,,RM
LOST!,233000.0,RM,"Right Place, Wrong Person",,,XW,2024-05-24,,RM
WINTER FLOWER (雪中梅),221133.0,"윤하, RM",Unstable Mindset,,,XW,2020-01-06,,RM
Strange,197000.0,"Agust D, RM",D-2,,,XW,2020-05-22,,RM
"U (Feat. 권진아, 랩몬스터)",255000.0,"Primary, 권진아, RM",2-1,,,KR,2015-04-07,,RM
Don't,205000.0,"이이언, RM",Fragile,,,XW,2021-04-30,,RM
Fantastic,219000.0,"RM, Mandy Ventrice",Fantastic,,,KR,2015-08-04,,RM
"Right People, Wrong Place",117000.0,RM,"Right Place, Wrong Person",,,XW,2024-05-24,,RM
Do You,181000.0,RM,RM,,,KR,2015-03-20,,RM
Life,258000.0,RM,RM,,,KR,2015-03-20,,RM
Seoul Town Road (Old Town Road remix),114133.0,"Lil Nas X, RM",Old Town Road (Seoul Town Road remix),,,AF,2019-07-24,,RM
moonchild,205000.0,RM,mono.,,,XW,2018-10-23,,RM
들꽃놀이,273000.0,"RM, Youjeen",Indigo,,,KR,2022-12-02,,RM
Come back to me,388960.0,RM,Come back to me,,,XW,2024-05-10,,RM
Change pt.2,114000.0,RM,Indigo,,,KR,2022-12-02,,RM
out of love,127000.0,RM,"Right Place, Wrong Person",,,XW,2024-05-24,,RM
seoul,275000.0,RM,mono.,,,XW,2018-10-23,,RM
Timeless,215760.0,"Drunken Tiger, RM",Drunken Tiger X : Rebirth of Tiger JK,,,KR,2018-11-14,,RM
everythingoes,222000.0,"RM, NELL",mono.,,,XW,2018-10-23,,RM
ProMeTheUs,341000.0,"Yankie, Dok2, Juvie Train, Double K, RM, Topbob, Don Mills",Andre,,,KR,2015-05-27,,RM
