title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
1+1=Love,164000.0,동해,Super Show 6 – Super Junior World Tour Concert Album,,,XW,2015-11-06,,동해
Beautiful,184000.0,동해,Super Show 2: The 2nd Asia Tour,,,KR,2009-12-10,,동해
Blue Moon,205226.0,"동해, MIYEON",California Love,,,,2021-10-13,,동해
California Love,228066.0,"동해, JENO",California Love,,,,2021-10-13,,동해
California Love (solo version),228080.0,동해,California Love,,,,2021-10-13,,동해
Dreams Come True,204000.0,"동해, 서현",Dreams Come True,,,KR,2011-10-11,,동해
Dreams Come True (inst.),204000.0,"동해, 서현",Dreams Come True,,,KR,2011-10-11,,동해
First Love,125000.0,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,동해
First Love,,동해,hero,,,JP,2013-07-24,,동해
HARMONY,239000.0,"동해, BewhY",HARMONY,,,XW,2020-02-23,,동해
HARMONY (instrumental),239000.0,"동해, BewhY",HARMONY,,,XW,2020-02-23,,동해
Happy Bubble,187000.0,"동해, 규현, 한지민",Happy Bubble,,,KR,2009-08-20,,동해
I WANNA DANCE,,"동해, 은혁",I WANNA DANCE,,,JP,2013-06-19,,동해
I WANNA DANCE,,"동해, 은혁",hero,,,JP,2013-07-24,,동해
I WANNA DANCE,,"동해, 은혁",hero,,,JP,2013-07-24,,동해
I WANNA DANCE (Room ver.),,"동해, 은혁",hero,,,JP,2013-07-24,,동해
I WANNA DANCE －Less Vocal －,,"동해, 은혁",I WANNA DANCE,,,JP,2013-06-19,,동해
JACKET MAKING CLIP,,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,동해
Love That I Need,,"동해, 은혁, HENRY",I WANNA DANCE,,,JP,2013-06-19,,동해
Love That I Need,,"동해, 은혁, HENRY",hero,,,JP,2013-07-24,,동해
Love That I Need －Less Vocal －,,"동해, 은혁",I WANNA DANCE,,,JP,2013-06-19,,동해
MUSIC VIDEO MAKING CLIP,,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,동해
"Oppa, Oppa",196000.0,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,동해
"Oppa, Oppa",,"동해, 은혁",hero,,,JP,2013-07-24,,동해
"Oppa, Oppa",,"동해, 은혁",hero,,,JP,2013-07-24,,동해
"Oppa, Oppa －MUSIC VIDEO －",,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,동해
"Oppa, Oppa －MUSIC VIDEO － [DANCE VER. TYPE A]",,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,동해
"Oppa, Oppa －MUSIC VIDEO － [DANCE VER. TYPE B]",,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,동해
"Oppa, Oppa －SUPER SHOW4 IN OSAKA VER.－",,"동해, 은혁","Oppa, Oppa",,,JP,2012-04-04,,동해
Plz Don't,234000.0,동해,판다양과 고슴도치 OST Part 1,,,KR,2012-08-20,,동해
Plz Don't (Inst.),233000.0,동해,판다양과 고슴도치 OST Part 1,,,KR,2012-08-20,,동해
cracked,222080.0,동해,Oh! Youngsim Pt. 2 (Original Soundtrack),,,XW,2023-05-23,,동해
cracked (instrumental),222080.0,동해,Oh! Youngsim Pt. 2 (Original Soundtrack),,,XW,2023-05-23,,동해
"떴다 오빠 (Oppa, Oppa)",196000.0,"동해, 은혁",떴다 오빠,,,KR,2011-12-16,,동해
아직도 난 (Still You),,"동해, 은혁",아직도 난 (Still You),,,KR,2013-12-18,,동해
첫 사랑,125000.0,"동해, 은혁",떴다 오빠,,,KR,2011-12-16,,동해
