title,length,track_artist,release_title,release_artist,release_group_type,country,release_date,label,query_artist
"Good‐Bye Days (From “Midnight Sun” Original Musical Soundtrack, Pt. 2) [with Kei]",234952,"김원필, Kei","Meet Me When The Sun Goes Down (From “Midnight Sun” Original Musical Soundtrack, Pt. 2)",,,XW,2021-04-26,,김원필
Sincerity,194116,김원필,Pilmography,,,,2022-02-07,,김원필
"Did you wake up? (one and only romance X Hello Ga‐Young, WONPIL(DAY6)) (Inst.)",199146,"안녕하신가영, 김원필","Did you wake up? (one and only romance X Hello Ga‐Young, WONPIL(DAY6))",,,XW,2020-07-12,,김원필
Nothings Gonna Change My Love for You,226983,김원필,Nothings Gonna Change My Love for You,,,XW,2023-12-21,,김원필
Stranded,245645,김원필,Pilmography,,,,2022-02-07,,김원필
Walk with me,182308,김원필,Pilmography,,,,2022-02-07,,김원필
Unpainted canvas,229256,김원필,Pilmography,,,,2022-02-07,,김원필
Voiceless,227596,김원필,Pilmography,,,,2022-02-07,,김원필
Like A Fire Instrumental,237106,김원필,Best Mistake 3 (Original Television Soundtrack) Pt. 2,,,XW,2022-01-18,,김원필
Pieces,195045,김원필,Pilmography,,,,2022-02-07,,김원필
"Did you wake up? (one and only romance X Hello Ga‐Young, WONPIL(DAY6))",199146,"안녕하신가영, 김원필","Did you wake up? (one and only romance X Hello Ga‐Young, WONPIL(DAY6))",,,XW,2020-07-12,,김원필
A writer in a love story,207602,김원필,Pilmography,,,,2022-02-07,,김원필
"Meet Me When The Sun Goes Down (From “Midnight Sun” Original Musical Soundtrack, Pt. 2)",205422,김원필,"Meet Me When The Sun Goes Down (From “Midnight Sun” Original Musical Soundtrack, Pt. 2)",,,XW,2021-04-26,,김원필
Like A Fire,237106,김원필,Best Mistake 3 (Original Television Soundtrack) Pt. 2,,,XW,2022-01-18,,김원필
A journey,209216,김원필,Pilmography,,,,2022-02-07,,김원필
"Someday, spring will come",274033,김원필,Pilmography,,,,2022-02-07,,김원필
Last goodbye,232191,김원필,Pilmography,,,,2022-02-07,,김원필
